14:42:14: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
14:42:14: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 132] Connected!
14:42:14: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE ALTITUDE: 1
14:42:15: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE ALTITUDE: -1
14:42:18: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 63.43494882292201
14:42:18: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 90.0
14:42:19: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 116.56505117707799
14:42:19: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 45.0
14:42:20: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 63.43494882292201
14:42:20: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 90.0
14:42:21: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 26.565051177077994
14:42:21: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 45.0
14:42:22: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 90.0
14:42:22: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 45.0
14:42:23: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 90.0
14:42:23: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: 135.0
14:42:24: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -26.565051177077994
14:42:24: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -45.0
14:42:25: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -90.0
14:42:25: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -45.0
14:42:26: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -90.0
14:42:26: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -135.0
14:42:27: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -63.43494882292201
14:42:27: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -90.0
14:42:28: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -116.56505117707799
14:42:28: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -45.00000000000005
14:42:29: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -63.43494882292201
14:42:29: [INFO] [/home/parmidawang/personal/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 74] Status: CHANGE YAW: -90.0
